Section,Code,Name,Unit,Labor Hrs,Material Cost ($),Description
LINE,LINE-001,200A Meter/Main Combo Panel (40-space 40-circuit) — Mount,EA,2.00,375.00,"Mount and secure 200A meter/main combo panel (40-space 40-circuit). Ref: SQ-D SC4080M200PS / Eaton BR4040B200R combo. Wiring and breakers separate."
LINE,LINE-001A,200A Meter/Main Combo Panel (30-space 42-circuit) — Mount,EA,2.00,225.00,"Mount and secure 200A meter/main combo panel (30-space 42-circuit). Ref: SQ-D SC3042M200PS. Wiring and breakers separate."
LINE,LINE-002,200A Main Breaker Panel (40-space 40-circuit) — Mount,EA,2.00,210.00,"Mount and secure 200A main breaker panel (40-space 40-circuit). Ref: SQ-D HOM4080M200PCVP / Eaton BR4040B200R / Siemens P4040B1200CU. Wiring and breakers separate."
LINE,LINE-002A,200A Main Breaker Panel (42-space 42-circuit) — Mount,EA,2.00,275.00,"Mount and secure 200A main breaker panel (42-space 42-circuit). Ref: SQ-D QO142M200P / Eaton BR4242B200R / CH42B200R / Siemens P4242B1200CU. Wiring and breakers separate."
LINE,LINE-002B,200A Main Breaker Panel (30-space 60-circuit) — Mount,EA,2.00,185.00,"Mount and secure 200A main breaker panel (30-space 60-circuit). Ref: SQ-D HOM3060M200PCVP / QO130M200P / Eaton BR3040B200 / Siemens P3040B1200CU. Wiring and breakers separate."
LINE,LINE-003,150A Main Breaker Panel (30-space 60-circuit) — Mount,EA,2.00,175.00,"Mount and secure 150A main breaker panel (30-space 60-circuit). Ref: SQ-D HOM3060M150PCVP / Eaton BR3040B150 / Siemens P3040B1150CU. Wiring and breakers separate."
LINE,LINE-003A,150A Main Breaker Panel (40-space 80-circuit) — Mount,EA,2.00,210.00,"Mount and secure 150A main breaker panel (40-space 80-circuit). Ref: SQ-D QO140M150P / Eaton BR4040B150 / Siemens P4040B1150CU. Wiring and breakers separate."
LINE,LINE-003B,150A Main Breaker Panel (42-space 42-circuit) — Mount,EA,2.00,250.00,"Mount and secure 150A main breaker panel (42-space 42-circuit). Ref: SQ-D QO142M150P / Eaton BR4242B150R / CH42B150R / Siemens P4242B1150CU. Wiring and breakers separate."
LINE,LINE-004,125A Main Breaker Panel (30-space 60-circuit) — Mount,EA,1.75,165.00,"Mount and secure 125A main breaker panel (30-space 60-circuit). Ref: SQ-D HOM3060M125PC / QO130M125P / Eaton BR3040B125 / Siemens P3040B1125CU. Wiring and breakers separate."
LINE,LINE-004A,125A Main Breaker Panel (40-space 40-circuit) — Mount,EA,1.75,185.00,"Mount and secure 125A main breaker panel (40-space 40-circuit). Ref: Eaton BR4040B125 / Siemens P4040B1125CU. Wiring and breakers separate."
LINE,LINE-005,100A Main Breaker Panel (30-space 40-circuit) — Mount,EA,1.50,140.00,"Mount and secure 100A main breaker panel (30-space 40-circuit). Ref: SQ-D HOM3060M100PC / Eaton BR3040B100 / Siemens P3040B1100CU. Wiring and breakers separate."
