Section,Code,Name,Unit,Labor Hrs,Material Cost ($),Description
NOTES,---,SCOPE NOTE,---,---,---,"Service catalog covers diagnostics, troubleshooting, and inspections only. Once the issue is identified, the repair/fix estimate uses the Old Work Catalog. No after-hours or emergency rates. No material costs — this is labor/diagnostic only."
DIAG,DIAG-001,Diagnostic / Troubleshooting — Hourly Rate,HR,1.00,0.00,"Hourly diagnostic rate for electrical troubleshooting and problem identification. 1-hour minimum. RATE TBD."
DIAG,DIAG-002,Circuit Tracing — Single Circuit,EA,0.25,0.00,"Trace one circuit from breaker to all endpoints using toner/tracer or breaker-off method. Identify and document what is on the circuit."
DIAG,DIAG-003,Full Panel Trace + Label (up to 20 circuits),EA,3.00,8.00,"Trace every circuit in panel, identify all endpoints (receptacles, lights, appliances), update panel directory label. Label kit included."
DIAG,DIAG-004,Full Panel Trace + Label (21-42 circuits),EA,5.00,8.00,"Trace every circuit in panel (21-42 circuits), identify all endpoints, update panel directory label. Label kit included."
TROUBLE,TR-001,Dead Circuit — Troubleshoot,EA,0.50,0.00,"Locate cause of dead circuit (no power). Test breaker, connections, and wiring to identify open, loose connection, or damaged conductor."
TROUBLE,TR-002,Tripping Breaker (Standard) — Troubleshoot,EA,0.50,0.00,"Determine cause of standard breaker tripping. Test for overload, short circuit, or ground fault. Isolate to specific device or section."
TROUBLE,TR-003,AFCI Breaker Nuisance Trip — Troubleshoot,EA,0.75,0.00,"Diagnose AFCI breaker nuisance tripping. Isolate arc-fault source — may require disconnecting devices, checking connections, identifying incompatible devices."
TROUBLE,TR-004,GFCI Troubleshoot (receptacle or breaker),EA,0.50,0.00,"Diagnose GFCI that won't reset or keeps tripping. Test device, downstream wiring, and connected loads for ground faults."
TROUBLE,TR-005,Ground Fault Locating,EA,0.75,0.00,"Isolate ground fault on a circuit. Systematically disconnect sections and devices to pinpoint fault location."
TROUBLE,TR-006,Short Circuit Locating,EA,0.75,0.00,"Isolate short circuit on a circuit. Systematically disconnect sections and devices to pinpoint short location."
TROUBLE,TR-007,Open Neutral / Open Hot Locating,EA,0.75,0.00,"Find break in conductor (open neutral or open hot). Test at boxes and junctions to narrow down location of break."
TROUBLE,TR-008,Flickering / Intermittent Power — Diagnose,EA,1.00,0.00,"Diagnose intermittent power issues (flickering lights, intermittent outlets). Requires extended testing at connections, splices, and panel. May require multiple test points."
TROUBLE,TR-009,Outlet / Switch Not Working — Diagnose,EA,0.25,0.00,"Diagnose single non-working outlet or switch. Test device, wiring, and upstream connections."
TROUBLE,TR-010,Voltage Drop Testing,EA,0.50,0.00,"Measure voltage drop across a circuit run under load. Identify undersized conductors, bad connections, or excessive run lengths."
TROUBLE,TR-011,Load Calculation — Determine Panel/Service Capacity,EA,1.50,0.00,"Calculate existing electrical load per NEC Article 220 to determine if panel/service can support added loads (EV charger, hot tub, addition, etc.). Provide written summary."
INSPECT,INS-001,Panel Inspection / Evaluation,EA,1.00,0.00,"Inspect existing panel for condition, hazards, code violations, and capacity. Check for recalled panel brands (Federal Pacific, Zinsco, etc.). Provide written assessment and recommendations."
INSPECT,INS-002,Whole-Home Electrical Safety Inspection,EA,3.00,0.00,"Walk entire electrical system. Test all accessible receptacles (polarity, ground, GFCI function). Check panel condition, grounding/bonding, smoke/CO detectors, exterior fixtures, visible wiring condition. Provide written report."
INSPECT,INS-003,Code Compliance Evaluation,EA,2.00,0.00,"Evaluate electrical system against current NEC for compliance. Identify code violations and recommend corrections. For insurance, sale, or renovation purposes. Provide written report."
INSPECT,INS-004,Pre-Purchase Electrical Evaluation,EA,2.50,0.00,"Comprehensive electrical evaluation for home buyers. Inspect panel, service, grounding, wiring type/condition, device function, GFCI/AFCI protection, and overall safety. Provide written report with findings and cost estimates for recommended work."
